t_us,ptr,bytes,kind,tag,owner_func,owner_site
11386544330,0x7d63c3f2c000,368640,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:31 (discriminator 2)
11386544341,0x7d63c3dc5c00,122880,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:31 (discriminator 2)
11386544351,0x7d63c3de3c00,30720,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:31 (discriminator 2)
11386544360,0x7d63c3deb400,15360,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:31 (discriminator 2)
11386544368,0x7d63c3def000,7680,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:31 (discriminator 2)
11386544577,0x7d63b0e00000,1228800,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11386544587,0x7d63c3f86000,368640,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11386544597,0x7d63c3fe0000,122880,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11386544604,0x7d63c3df0e00,30720,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11386544615,0x7d63c3df8600,15360,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11386544624,0x7d63c3ffe000,7680,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11386544832,0x7d63b1000000,1228800,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:32
11386545045,0x7d63b1200000,1228800,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:32
11386545055,0x7d63b012c000,368640,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:32
11386545065,0x7d63b0186000,122880,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:32
11386545076,0x7d63b01a4000,30720,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:32
11386545084,0x7d63c3dfc200,15360,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:32
11386545094,0x7d63b01ab800,7680,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:32
11386545103,0x7d63b032c000,491520,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:35
11386545312,0x7d63b1400000,1228800,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:26
11386545392,0x7d63b1600000,1228800,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:26
11386545402,0x7d63b03a4000,368640,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:26
11386545411,0x7d63b01ad600,122880,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:26
11386545420,0x7d63b01cb600,30720,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:26
11386545429,0x7d63b01d2e00,15360,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:26
11386545439,0x7d63b03fe000,7680,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:26
11386545491,0x7d63b1800000,1228800,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:31 (discriminator 2)
11386545501,0x7d63b052c000,368640,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:31 (discriminator 2)
11386545511,0x7d63b01d6a00,122880,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:31 (discriminator 2)
11386545520,0x7d63b01f4a00,30720,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:31 (discriminator 2)
11386545532,0x7d63b01fc200,15360,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:31 (discriminator 2)
11386545542,0x7d63b0586000,7680,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:31 (discriminator 2)
11386545600,0x7d63b1a00000,1228800,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11386545610,0x7d63b0587e00,368640,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11386545620,0x7d63b05e1e00,122880,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11386545631,0x7d63b072c000,30720,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11386545640,0x7d63b0733800,15360,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11386545649,0x7d63b0737400,7680,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11386545849,0x7d63b1c00000,1228800,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:32
11386546083,0x7d63b1e00000,1228800,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:32
11386546094,0x7d63b0739200,368640,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:32
11386546105,0x7d63b0793200,122880,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:32
11386546115,0x7d63b07b1200,30720,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:32
11386546123,0x7d63b07b8a00,15360,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:32
11386546132,0x7d63b07bc600,7680,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:32
11386546142,0x7d63b092c000,491520,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:35
11386546380,0x7d63ae000000,1228800,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:26
11386546573,0x7d63ae200000,1228800,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:26
11386546583,0x7d63b09a4000,368640,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:26
11386546593,0x7d63b07be400,122880,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:26
11386546602,0x7d63b07dc400,30720,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:26
11386546612,0x7d63b07e3c00,15360,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:26
11386546622,0x7d63b09fe000,7680,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:26
11386546803,0x7d63ae400000,1228800,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:31 (discriminator 2)
11386546816,0x7d63b0b2c000,368640,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:31 (discriminator 2)
