app,kernel,class,mem_sol,comp_sol,dram_sol,lfmr,occ,log_sect,qsr,l2amp,s_core,s_mem,dsa
hb_dslash,make_back,G3-l2-reuse,99.1046,99.1046,34.8373,0.2289,49.2193,0.0,1.7405,0.4099,1.9928,1.0031,89.8192
hb_dxtc2,compress,G5-compute,14.4189,96.7502,0.6144,0.4745,41.0368,0.5952,9.0576,0.7115,1.9995,1.0,89.9998
hb_easyWave,kernel4,G3-l2-reuse,0.2206,0.0216,0.1091,0.2559,2.0833,0.0,0.0,0.2183,1.6546,1.0169,88.5182
hb_easyWave,kernel3,G2-coalescing,38.4344,4.8924,38.4344,0.4734,31.7333,1.4564,0.0039,0.4733,1.3266,1.209,57.381
hb_easyWave,kernel,G2-coalescing,44.1867,5.021,44.1867,0.6098,31.2232,1.3792,0.0022,0.6101,1.2326,1.2565,42.1974
hb_easyWave,kernel2,G7-dependency,6.8496,0.0164,6.7314,0.3592,2.0833,-2.0,0.0,0.3731,1.66,1.0195,88.3096
hb_ecdh,k_slow,G5-compute,3.3565,84.8105,3.3565,0.0623,98.4795,0.602,2.7724,0.5182,1.9998,1.0,90.0007
hb_eigenvalue,recalculateEigenIntervals,G3-l2-reuse,7.0404,8.8991,0.1925,0.2779,16.6608,0.741,0.0,0.3274,1.9228,0.9999,90.0045
hb_eigenvalue,calNumEigenValueInterval,G3-l2-reuse,7.1261,9.2467,0.1035,0.3414,16.6498,0.6021,0.0,0.2158,1.9131,0.9999,90.0056
hb_eikonal,run_solver,G5-compute,3.6207,56.1846,2.1496,0.5416,13.6575,0.669,0.0061,0.5324,1.9993,1.0003,89.9839
hb_eikonal,run_check_neighbor,G6-onchip,10.2391,39.8445,10.2391,0.5011,26.1125,0.7113,0.033,0.4949,1.9903,1.0035,89.7985
hb_eikonal,run_reduction,G4-latency,5.9329,5.4771,2.1151,0.3709,10.4495,0.0,0.0166,0.3938,1.9732,1.0061,89.6411
hb_entropy,entropy,G3-l2-reuse,89.1107,14.6705,2.7432,0.0048,86.6017,0.6021,3.3603,0.0148,1.7833,0.9989,90.0773
hb_extend2,kernel_extend2,G3-l2-reuse,0.8126,0.3858,0.484,0.0011,2.0833,0.0,0.0,0.5131,1.9128,0.9999,90.004
hb_extrema,relextrema_1D,G1-bandwidth,78.1963,49.8071,78.1963,0.7584,76.5588,0.669,0.0005,0.7569,1.9973,1.0,89.9993
hb_f16atomic,f16AtomicOnGlobalMem,G3-l2-reuse,10.8769,4.9303,1.2094,0.0429,72.3329,-2.0,0.0016,0.0501,1.3024,0.9987,90.2445
hb_f16max,hmax,G1-bandwidth,95.711,14.0557,95.711,0.668,86.4555,0.6021,0.0,0.9962,1.0647,1.3468,10.5663
hb_f8cast,ref_fp32_cvt_e4m3,G1-bandwidth,92.0777,26.3112,92.0777,0.8004,79.8584,0.6021,0.0,0.9969,1.4151,1.2736,56.6096
hb_f8cast,fp32_cvt_e4m3,G1-bandwidth,93.2301,21.2829,93.2301,0.8006,79.5094,0.6021,0.0,0.9971,1.3367,1.3053,47.8008
hb_fdtd3d,finite_difference,G3-l2-reuse,61.8387,61.8387,43.5333,0.3334,81.4542,0.6022,0.3462,0.5214,1.568,1.1483,75.3671
hb_fft,ifft1D_512,G5-compute,9.9836,86.8458,9.9836,0.5166,58.0643,1.2041,0.1703,0.9771,1.9994,1.0001,89.9965
hb_fft,fft1D_512,G5-compute,10.2146,86.9214,10.2146,0.5166,58.0586,1.2041,0.1783,0.9774,1.9994,1.0001,89.9939
hb_fhd,cmpfhd,G5-compute,20.1478,63.03,0.5358,0.7861,91.9587,0.601,1.5145,0.8152,1.9772,0.9994,90.0336
hb_filter,filter,G1-bandwidth,79.1856,47.4708,79.1856,0.6151,87.8484,0.6021,0.0149,0.9107,1.5651,1.1709,73.1738
hb_flame,kernel_generate_points,G5-compute,21.5082,41.9495,5.0915,0.0558,31.5735,1.2865,0.0115,0.0856,1.9073,1.0128,89.1918
hb_flame,kernel_iterate,G3-l2-reuse,41.2849,15.5826,6.8576,0.0949,21.8451,1.5012,0.0516,0.0928,1.9007,1.0015,89.9053
hb_flame,kernel_initialize,G3-l2-reuse,13.3458,23.6132,13.3458,0.2989,26.3873,1.1601,0.0099,0.2979,1.8685,0.9998,90.0155
hb_flip,flip_kernel,G5-compute,47.657,80.2918,43.8339,0.5043,92.0582,0.6021,0.0023,0.9983,,,
hb_floydwarshall,floydWarshallPass,G1-bandwidth,79.6192,39.4939,79.6192,0.564,72.6416,0.426,0.0147,0.636,1.8006,1.0011,89.9185
hb_fluidSim,lbm,G5-compute,42.6547,78.2348,13.1427,0.1894,57.3175,1.5012,0.7854,0.1924,1.9892,1.0,90.0022
hb_fma,implicit_fma_kernel,G1-bandwidth,83.0488,20.9413,54.0022,0.2005,91.2952,1.2204,4.986,0.2529,1.2585,1.2614,44.6811
hb_fma,implicit_fma_kernel_rowwise,G3-l2-reuse,84.227,5.0699,12.3461,0.079,22.5766,1.4747,4.0372,0.0964,1.5705,1.0333,86.6628
hb_fpc,fpc_kernel,G1-bandwidth,95.6721,32.2116,95.6721,0.9819,86.5215,0.9031,0.0006,1.0151,1.3209,1.3581,41.8615
hb_fpdc,CompressionKernel,G4-latency,41.3064,41.3064,39.9691,0.4535,16.5955,0.6529,0.0024,0.7204,1.661,1.079,83.181
hb_fresnel,kernel,G5-compute,15.8222,87.7239,3.4847,0.0394,37.2382,0.9031,0.1616,0.0703,1.9996,1.0,89.9987
hb_fsm,FSMKernel,G1-bandwidth,85.0272,17.372,85.0272,0.434,96.7994,0.331,0.0597,0.9232,1.0579,1.2694,12.1383
hb_fsm,MaxKernel,G3-l2-reuse,1.7487,0.0719,1.7487,0.3431,2.0833,0.0,0.0082,0.4358,1.5221,1.0516,84.3535
