app,kernel,class,t_base_ms,a_share,b_share,c_share,holdout_err_pct,gate
hb_debayer,malvar_he_cutler_demosaic,G3-l2-reuse,386.464,0.909,0.147,-0.056,3.2,nonphysical
hb_depixel,eliminate_crosses,G7-dependency,9635.031,0.995,0.004,0.001,0.2,ok
hb_depixel,check_connect,G5-compute,5.366,0.98,0.082,-0.062,2.2,nonphysical
hb_determinant,xxtrf4_set_info_ker,G7-dependency,1.224,0.662,-0.001,0.338,2.3,ok
hb_dispatch,EmptyKernel,G7-dependency,1112.887,0.65,-0.0,0.35,2.5,ok
hb_distort,barrel_distort,G3-l2-reuse,73.838,0.967,-0.0,0.033,0.2,ok
hb_divergence,div_kernel,G7-dependency,46.493,0.701,-0.0,0.299,2.0,ok
hb_doh,hessian_matrix_det,G3-l2-reuse,2.887,0.977,-0.001,0.024,0.0,ok
hb_dpid,kernelDownsampling,G1-bandwidth,214.583,0.914,0.05,0.035,0.9,ok
hb_dpid,kernelGuidance,G1-bandwidth,149.69,0.84,0.154,0.005,3.9,ok
hb_dropout,fused_dropout_kernel,G1-bandwidth,749.917,0.02,0.884,0.096,0.6,ok
hb_dslash,dslash,G1-bandwidth,383.052,0.362,0.673,-0.035,17.1,holdout-fail
hb_dslash,make_back,G3-l2-reuse,8.834,0.993,0.008,-0.001,0.1,ok
hb_dxtc2,compress,G5-compute,226.992,1.0,0.0,0.0,0.0,ok
hb_easyWave,kernel4,G3-l2-reuse,484.164,0.655,0.042,0.303,1.9,ok
hb_easyWave,kernel3,G2-coalescing,115.77,0.327,0.523,0.151,3.6,ok
hb_easyWave,kernel,G2-coalescing,90.761,0.233,0.641,0.126,2.4,ok
hb_easyWave,kernel2,G7-dependency,2.17,0.66,0.049,0.291,1.8,ok
hb_ecdh,k_slow,G5-compute,6096.477,1.0,-0.0,0.0,0.0,ok
hb_eigenvalue,recalculateEigenIntervals,G3-l2-reuse,4338.779,0.923,-0.0,0.077,0.5,ok
hb_eigenvalue,calNumEigenValueInterval,G3-l2-reuse,3343.851,0.913,-0.0,0.087,0.5,ok
hb_eikonal,run_solver,G5-compute,901.782,0.999,0.001,-0.0,0.0,ok
hb_eikonal,run_check_neighbor,G6-onchip,208.877,0.99,0.009,0.001,0.2,ok
hb_eikonal,run_reduction,G4-latency,25.842,0.973,0.015,0.012,3.1,ok
hb_entropy,entropy,G3-l2-reuse,6516.129,0.783,-0.003,0.219,2.9,ok
hb_extend2,kernel_extend2,G3-l2-reuse,1642.278,0.913,-0.0,0.087,0.5,ok
hb_extrema,relextrema_1D,G1-bandwidth,1264.892,0.997,0.0,0.003,0.0,ok
hb_f16atomic,f16AtomicOnGlobalMem,G3-l2-reuse,1.709,0.302,-0.003,0.701,6.1,ok
hb_f16max,hmax,G1-bandwidth,6335.876,0.065,0.867,0.068,1.9,ok
hb_f8cast,ref_fp32_cvt_e4m3,G1-bandwidth,919.565,0.415,0.684,-0.099,9.1,nonphysical
hb_f8cast,fp32_cvt_e4m3,G1-bandwidth,892.175,0.337,0.763,-0.1,9.4,nonphysical
hb_fdtd3d,finite_difference,G3-l2-reuse,46.935,0.568,0.371,0.061,7.0,ok
hb_fft,ifft1D_512,G5-compute,2546.428,0.999,0.0,0.0,0.0,ok
hb_fft,fft1D_512,G5-compute,2489.279,0.999,0.0,0.0,0.0,ok
hb_fhd,cmpfhd,G5-compute,3591.768,0.977,-0.001,0.024,0.2,ok
hb_filter,filter,G1-bandwidth,369.353,0.565,0.427,0.008,4.9,ok
hb_flame,kernel_generate_points,G5-compute,345.518,0.907,0.032,0.061,0.2,ok
hb_flame,kernel_iterate,G3-l2-reuse,197.02,0.901,0.004,0.096,0.3,ok
hb_flame,kernel_initialize,G3-l2-reuse,7.808,0.869,-0.001,0.132,0.6,ok
hb_floydwarshall,floydWarshallPass,G1-bandwidth,1842.503,0.801,0.003,0.197,1.0,ok
hb_fluidSim,lbm,G5-compute,1798.698,0.989,-0.0,0.011,0.1,ok
